虫害名称(别名),分布地区,为害作物,为害特征,形态特征,生活习性,发生规律,防治措施,天敌
麦圆蜘蛛（麦叶爪螨）、麦长腿蜘蛛（麦岩螨）,麦圆蜘蛛：我国北纬29 - 37度地区；麦长腿蜘蛛：北纬34 - 43度地区，主害区在长城以南、黄河以北干旱、高燥麦区。有些地区两者混合发生、混合为害,小麦,以成、若虫吸食麦叶汁液，受害叶上出现细小白点，后麦叶变黄，麦株生育不良，植株矮小，严重的全株干枯,麦圆蜘蛛：成虫体长0.6 - 0.98mm，宽0.43 - 0.65mm，卵圆形，黑褐色。4对足，第1对长，第4对居二，2、3对等长。具背肛。足、肛门周围红色。卵长0.2mm左右，椭圆形，初暗褐色，后变浅红色。若螨共4龄。一龄称幼螨，3对足，初浅红色，后变草绿色至黑褐色。2、3、4龄若螨4对足，体似成螨。麦长腿蜘蛛：成虫体长0.62 - 0.85mm，体纺锤形，两端较尖，紫红色至褐绿色。4对足，其中1、4对特别长。卵有2型：越夏卵圆柱形，长0.18mm，卵壳表面有白色蜡质，顶部覆有白色蜡质物，似草帽状，卵顶具放射形条纹；非越夏卵球形，粉红色，长0.15mm，表面生数十条隆起条纹。若虫共3龄。一龄称幼螨，3对足，初为鲜红色，吸食后为黑褐色，2、3龄有4对足，体形似成螨,麦圆蜘蛛年生2 - 3代，即春季繁殖1代，秋季1 - 2代，完成1个世代46 - 80天，以成虫或卵及若虫越冬。冬季几乎不休眠，耐寒力强，翌春2、3月越冬螨陆续孵化为害。3月中下旬 - 4月上旬虫口数量大，4月下旬大部分死亡，成虫把卵产在麦茬或土块上，10月越夏卵孵化，为害秋播麦苗。多行孤雌生殖，每雌产卵20多粒；春季多把卵产在小麦分蘖丛或土块上，秋季多产在须根或土块上，多聚集成堆，每堆数十粒，卵期20 - 90天，越夏卵期4 - 5个月。生长发育适温8 - 15℃，相对湿度高于70％，水浇地易发生。江苏早春降雨是影响该蜘蛛年度间发生程度的关键因素。麦长腿蜘蛛年生3 - 4代，以成虫和卵越冬，翌春2 - 3月成虫开始繁殖，越冬卵开始孵化，4 - 5月田间虫量多，5月中下旬后成虫产卵越夏，10月上中旬越夏卵孵化，为害麦苗。完成一个世代需24 - 46天。多行孤雌生殖。把卵产在麦田中硬土块或小石块及秸秆或粪块上，成、若虫亦群集，有假死性，主要发生在旱地麦田里,未提及,(1)因地制宜进行轮作倒茬，麦收后及时浅耕灭茬；冬春进行灌溉，可破坏其适生环境，减轻为害。(2)播种前用75％3911乳剂0.5kg，对水15 - 25kg，拌麦种150 - 250kg，拌后堆闷12小时后播种。(3)必要时用2％混灭威粉剂或1.5％乐果粉剂，每667m²用1.5 - 2.5kg喷粉，也可掺入30 - 40kg细土撤毒土。(4)虫口数量大时喷洒40％氧化乐果乳油或40％乐果乳油1500倍液，每667m²喷对好的药液75kg。(5)也可选用波美0.3 - 0.5度石硫合剂或50％硫悬浮剂667m²用200 - 400g对水50 - 75kg喷雾，可有效地防治麦蜘蛛，同时还可兼治白粉病和锈病。(6)上述措施不能奏效时，可喷洒15％哒螨灵乳油2000 - 3000倍液或20％绿保素(螨虫素十辛硫磷)乳油3000 - 4000倍液、36％克瞒蝇乳油1000 - 1500倍液，持效期10 - 15天,未提及
麦根蝽象（根土蝽、根蝽象、地熔、地臭虫等）,华北、东北、西北及台湾,小麦、高粱、玉米,成、若虫以口针刺吸寄主根部的营养。为害小麦时，4月中下旬开始显症，5月上中旬叶黄、秆枯、炸芒，提早半个月枯死，致穗小粒少，干粒重明显下降。为害高粱、玉米时，苗期出现苗青、株矮及青枯不结穗，减产20％ - 30％或点片绝收,成虫体长约5mm，近椭圆形，桔红至深红色，有光泽。触角5节，复眼浅红色，1对单眼黄褐色，头顶前缘具1排短刺横列。前胸宽阔，小盾片为三角形，前翅基半部革质，端半部膜质，后翅膜质。前足腿节短，胫节略长，跗节黑褐色变为“爪钩”；中足腿节较粗壮，肠节似短棒状，外侧前缘具1排扫帚状毛刺；后足腿节粗壮。卵长1．2mm左右，椭圆形，淡青色至乳白色或暗白色。末龄若虫体长与成虫相近，头部、胸部、翅芽黄色至橙黄色，腹背具3条黄线，腹部白色,山东2年发生1代，个别3年1代，以成虫或若虫在土中30 - 60cm深处越冬。翌年越冬代成虫4月逐渐上升到耕作层为害和交尾，5月中、下旬产卵，卵期26．6天，6月上旬至7月上中旬出现大量若虫，若虫共5龄，每个龄期30 - 45天，为害小麦、高粱、玉米等作物根部，若虫越冬后至下年6 - 7月间，老熟若虫羽化，若虫期和成虫期约需1年左右，条件不利时若虫期可长达2年。世代不够整齐，有世代重叠现象。陕西也是2年1代，翌年越冬成虫于6 - 7月交配产卵，卵期30天。若虫于8月中旬 - 9月上旬孵化，10月下旬越冬，次年4月中旬开始活动，4月下旬 - 7月中旬进入若虫为害期，7月下旬 - 8月中旬成虫羽化后越冬。于第三年成虫经补充营养，交配产卵，产卵前期l5天。辽宁绵州2年或2．5年完成1代，越冬成虫于7月产卵，发育快的次年8月羽化为成虫，当年以成虫越冬。发育慢的群体则需进行2次越冬，第3年6 - 7月羽化为成虫。2．5年完成1代。该虫有假死性，能分泌臭液，在土中交配，把卵散产在20 - 30cm潮湿土层里，产卵量数粒至百余粒。成虫于6 - 8月土温高于25℃或天气闷热的雨后或灌溉后，部分成虫出土晒太阳，身体稍干即可爬行或低飞。干旱年份发生为害重,未提及,(1)实行小麦与非禾本科作物轮作。(2)在播前施用3％甲基异柳磷颗粒剂，每667m²用量3kg，撒在播种沟内进行土壤处理。(3)在雨后或灌水后于中午喷撤2．5％甲基异柳磷或其他有机磷农药粉剂，也有效,未提及
麦水蝇（稻小潜叶蝇、大麦水蝇等、鞘潜蝇）,华北、华东、东北、甘肃、西南麦区,小麦,主要为害叶鞘，绝大多数为害旗叶以下1 - 2片叶的叶鞘，少数为害叶片。幼虫钻潜在叶鞘或叶片的内、外表皮之间组织里，形成直或不规则潜道，潜道内常无明显粪便，后期仅剩表皮，导致叶片提早干枯或不能抽穗或出现空秕粒,成虫体长2 - 4mm，翅展5mm，体色灰暗，触角黑色，有1对翅，翅前缘具缺刻2个，后翅变为平衡棍，鲜红色。卵长0.7mm，椭圆形，乳白色，卵粒表面具纵纹。末龄幼虫体长4 - 4.5mm，扁圆筒形，浅黄白色，口钩浓黑色。蛹长4mm，初黄褐色，尾端具小黑突起2个,甘肃年生2代，西南麦区年生3 - 4代，以蛹在叶鞘里越冬。西南麦区翌年2 - 4月成虫羽化后，先在开花的油菜田吸食花蜜补足营养，交配后把卵产在孕穗至抽穗期小麦的剑叶或植株上部叶片的正面基部，每片叶着卵几粒至10多粒，多的达40 - 50粒，卵期4 - 10天，幼虫期13 - 19天，3 - 4月是幼虫为害期，老熟幼虫于4月上旬化蛹在叶鞘里，有时集聚20多头。北方麦区，越冬代成虫于5月中旬开始活动，交配产卵，6月上旬幼虫始发，6月中下旬进入盛发期，7月化蛹，7月中旬一代成虫羽化。第二代把卵产在杂草或自生麦苗上，幼虫为害到深秋开始化蛹越冬,麦水蝇发生与品种的性状关系密切，生产上叶嫩色深，叶宽肉厚，叶脉粗大且凹陷深的品种，着卵多，受害重,(1)选用茎秆坚硬、叶片适中的抗虫品种。(2)进行预测预报，当小麦着卵株率达10％左右，平均着卵多于10粒，进入盛孵始期时，马上喷洒90％晶体敌百虫1500倍液或50％杀螟松乳油1500 - 2000倍液、36％克螨蝇乳油1000 - 1500倍液、40％乐果乳油2000倍液，每667m²喷对好的药液75L,未提及
麦田斑须蝽（细毛蝽、臭大姐）,全国各地,小麦,成虫和若虫刺吸嫩叶、嫩茎及穗部汁液。茎叶被害后，出现黄褐色斑点，严重时叶片卷曲，嫩茎凋萎，影响生长，减产减收,成虫体长8 - 13.5mm，宽约6mm，椭圆形，黄褐或紫色，密被白绒毛和黑色小刻点；触角黑白相间；喙细长，紧贴于头部腹面。小盾片末端钝而光滑，黄白色,内蒙古一年2代，以成虫在田间杂草、枯枝落叶、植物根际、树皮及屋檐下越冬。4月初开始活动，4月中旬交尾产卵，4月底5月初幼虫孵化，第一代成虫6月初羽化，6月中旬为产卵盛期；第二代于6月中下旬 - 7月上旬幼虫孵化，8月中旬开始羽化为成虫，10月上中旬陆续越冬。卵多产在作物上部叶片正面或花蕾、果实的苞片上，多行整齐纵列。初孵若虫群聚为害，2龄后扩散为害,未提及,参见二星蝽（成虫集中越冬或出蜇后集中为害时，利用成虫的假死性，震动植株，使虫落地，迅速收集杀死。发生严重的喷洒20％灭多威乳油1500倍液）,未提及
麦田棉铃虫,未提及（参考玉米田棉铃虫）,小麦,幼虫为害小麦，食叶成缺刻或孔洞，蛀台或咬断麦穗,未提及（参考玉米田棉铃虫）,未提及（参考玉米田棉铃虫）,未提及,(1)防治指标：我国该虫为害小麦重的产麦区年生4代，个别年份可能出现发生不整齐的5代。一代主要为害小麦，卵盛期在5月上中旬，麦田防治指标为每m²有二龄幼虫8头或百株累计卵量16粒左右；二代卵盛期在6月中下旬，防治指标为百株累计卵量100粒或防治后百株残虫10头以上；三代卵盛期在7月中下旬，防治指标为百株累计卵量40粒或防治后百株残虫5头以上；四代卵盛期在8月下旬 - 9月上旬，防治指标为百株幼虫10头以上或防治后百株残虫相应数量（文档未完整给出）,未提及
麦秆蝇（Meromyza saltatrix Linnaeus）,北起黑龙江、内蒙古、新疆，南至贵州、云南，西达新疆、西藏，青海的海南、四川的甘孜、阿坝地区也有发生，新疆、内蒙古、宁夏以及河北、山西、陕西、甘肃部分地区为害较重,小麦等寄主植物,以幼虫钻入小麦等寄主茎内蛀食为害，初孵幼虫从叶鞘或茎节间钻入麦茎，或在幼嫩心叶及穗节基部1／5 - 1／4处呈螺旋状向下蛀食，形成枯心、白穗、烂穗，不能结实,雄成虫体长3 - 3.5mm，雌虫3.7 - 4.5mm，体为浅黄绿色，复眼黑色，胸部背面具3条黑色或深褐色纵纹，中间一条纵纹前宽后窄，直连后缘棱状部的末端，两侧的纵纹仅为中纵纹的一半或一多半，末端具分叉。触角黄色，小腮须黑色，基部黄色。足黄绿色。后足腿节膨大。卵长1mm，纺锤形，白色，表面具纵纹10条。末龄幼虫体长6 - 6.5mm，黄绿色或淡黄绿色，呈蛆形。蛹属围蛹，雄体长4.3 - 4.7mm，雌5 - 5.3mm，蛹壳透明，可见复眼、胸、腹部等,内蒙古等春麦区年生2代，冬麦区年生3 - 4代，以幼虫在寄主根茎部或土缝中或杂草上越冬。春麦区翌年5月上、中旬始见越冬代成虫，5月底、6月初进入发生盛期，6月中、下旬为产卵高峰期，卵经4 - 7天孵化，6月下旬是幼虫为害盛期，为害20天左右。7月上中旬化蛹，蛹期5 - 10天。第一代幼虫于7月中下旬麦收前大部分羽化并离开麦田，把卵产在多年生禾本科杂草上。麦秆蝇在内蒙古仅一代幼虫为害小麦，成虫羽化后把卵产在叶面基部。冬麦区1、2代幼虫于4、5月为害小麦，3代转移到自生麦苗上，第4代转移到秋苗上为害。河南一年也有两个为害高峰期。幼虫老熟后在为害处或野生寄主上越冬。成虫有趋光性、趋化性，成虫羽化后当天交尾，白天活跃在麦株间，卵多产在4、5叶的麦茎上，卵散产，每雌可产卵20多粒，多的可达70 - 80粒,该虫产卵和幼虫孵化需较高湿度，小麦茎秆柔软、叶片较宽或毛少的品种，产卵率高，为害重,(1)因地制宜选用适合当地的耐虫或早熟品种。(2)加强栽培管理，做到适期早播、合理密植。加强水肥管理，促进小麦生长整齐。加快小麦前期生长发育是控制该虫的根本措施。(3)加强麦秆蝇预测预报，冬麦区在3月中下旬，春麦区在5月中旬开始查虫，每隔2 - 3天于10时前后在麦苗顶端扫网200次，当200网有虫2 - 3头时，约在15天后即为越冬代成虫羽化盛期，是第一次药剂防治适期。冬麦区平均百网有虫25头，即需防治。(4)当麦秆蝇成虫已达防治指标，应马上喷撒2.5％敌百虫粉或1.5％乐果粉或1％1605粉剂，每667m² 1.5kg。(5)如麦秆蝇已大量产卵，及时喷洒36％克螨蝇乳油1000 - 1500倍液或50％1605乳油4000倍液或80％敌敌畏乳油与40％乐果乳油1：1混合后对水1000倍液或10％大功臣可湿性粉剂3000倍液、25％速灭威可湿性粉剂600倍液，每667m²喷对好的药液50 - 75L，把卵控制在孵化之前,未提及
麦种蝇（麦地种蝇、瘦腹种蝇）,内蒙古、黑龙江、山西、陕西、青海、甘肃、宁夏、新疆,小麦,幼虫为害麦茎基部，造成心叶青枯，后黄枯死亡，致田间出现缺苗断垄或造成毁种,雄成虫体长5 - 6mm，暗灰色。头银灰色，额窄，额条黑色。复眼暗褐色，在单眼三角区的前方，间距窄，几乎相接。触角黑色。胸部灰色。腹部上下扁平，狭长细瘦，较胸部色深。翅浅黄色，具细黄褐色脉纹，平衡棒黄色。足黑色。雌虫体长5 - 6.5mm，灰黄色。额宽与眼宽相等或较宽，复眼间距较宽，约为头的三分之一，胸、腹部灰色，腹部较雄虫粗大。卵长椭圆形，长1 - 1.2mm，腹面略凹，背面凸起，一端尖削，另一端较平，初乳白色，后变浅黄白色，具细小纵纹。幼虫体长6 - 6.5mm，蛆状，乳白色，老熟时略带黄色，头极小，口钩黑色，尾部如截断状，具7对肉质突起，第一对在第二对稍上方，第六对分叉。围蛹纺锤形，长5 - 6mm，宽约1.5 - 2mm。初为淡黄色，后变黄褐色，两端稍带黑色，羽化前黑褐色，稍扁平，后端圆形有突起,甘肃庆阳年生1代，以卵在土内越冬。其越冬期长达180 - 200天，翌年3月越冬卵孵化为幼虫，初孵幼虫栖息在植株茎秆、叶及地面上，先在小麦茎基部钻一小孔，钻入茎内，头部向上，蛀食心叶组织成锯末状。幼虫耐饥力强，每头幼虫只为害一株小麦，无转株为害习性。幼虫活动为害盛期在3月下旬至4月上旬。幼虫期30 - 40天。4月中旬幼虫爬出茎外，钻入6 - 9cm土中化蛹，4月下旬至5月上旬为化蛹盛期，蛹期21 - 30天。6月初蛹开始羽化，6月中旬为成虫羽化盛期，下旬全都羽化，这时小麦已近成熟，成虫即迁入秋作物杂草上活动。7 - 8月为成虫活动盛期。生长稠密、枝叶繁茂、地面覆盖隐蔽及湿度大的环境中，该蝇迁入多。成虫早晨、傍晚、阴天活动，中午温度高时，多栖息荫蔽处不大活动。秋季气温低时，则中午活动，早晚不甚活动。成虫交配后，雄虫不久死亡。雌虫9月中旬开始产卵，卵分次散产于土壤缝隙及疏松表土下2 - 3cm处。每雌产卵9 - 48粒，产卵后即死亡，10月雌虫全部死亡,未提及,(1)用50％辛硫磷乳油1.5kg，对水2.5kg，混匀后喷拌在20kg干土上，制成毒土，撒施。(2)成虫发生期也可喷洒36％克螨蝇乳油1000 - 1500倍液或50％敌敌畏乳油1000倍液，每667m²喷对好的药液75L,未提及
麦穗夜蛾（未提及别名）,未提及（文档中未明确说明）,未提及（文档中未明确说明）,未提及（文档中未明确说明）,未提及（文档中未明确说明）,未提及（文档中未明确说明）,未提及,未提及,未提及
麦双尾蚜（俄罗斯麦蚜）,新疆，辽河、黄河、淮河、海河流域都是该虫适生区，国外主要分布在乌克兰、中亚、北非、东欧、尼泊尔、南非、墨西哥、美国、加拿大,麦类,为害麦类时，致旗叶纵卷，不能正常抽穗，减产30％ - 60％,无翅孤雌蚜体长1.59mm，宽0.6mm，体浅绿色。中胸腹岔无柄至两臂断开。触角长0.74mm，1 - 6节长度比例为35、30、100、62、58、46 + 91。喙达中足基节，末节长为后跗节2的0.74倍。跗节1毛序为3，3，3。腹管长不及基宽。第八腹节背片中央具上尾片，长为尾片的0.55倍。尾片毛5根或6根，上尾片具短毛4 - 5根，尾板毛9根，生殖板毛20根。有翅孤雌蚜体长2.46mm，宽0.82mm。触角长0.74mm，1 - 6节长度比例为23，12，100，51，53，43 + 92；3节上有圆形次生感觉器4 - 6个，4节有1或2个,年生11代，在寒冷麦区营全周期生活。秋末冬初产生雌性蚜和雄蚜，交配后把卵产在麦类或禾本科杂草上，翌春卵孵化，在上述寄主上孤雌生殖3个世代，一、二代为无翅型，三、四代部分为有翅型，向外迁飞或为害到麦收。在温暖地区营不全周期孤雌生殖,未提及,(1)选用二粒小麦、Mg4537、Mg7458、Mg8786、Mg8256等感虫率低的品种，可减轻受害。(2)种植毛大头、红佛尔、墨稻穗、7432 - 15 - 0 - 21、勾毛白等感虫率高的小麦品种，它们可吸引大量虫源，然后集中消灭,无花果蚜小蜂、异足蚜小蜂、广鞘蚜茧蜂、食蚜瘿蚊、四斑毛瓢虫等
麦茎叶甲（甘薯肖叶甲指名亚种、麦颈叶甲、甘薯金花虫、甘薯华叶虫、番薯鸠、红苕柱虫、剥皮虫、牛屎虫等）,麦颈叶甲主要分布在北方各省和四川一带；甘薯叶甲丽鞘亚种主要分布在我国南方各省,未提及（参考薯类害虫 - 甘薯肖叶甲，但文档未明确其对小麦的为害）,未提及（参考薯类害虫 - 甘薯肖叶甲，但文档未明确其对小麦的为害特征）,未提及（参考薯类害虫 - 甘薯肖叶甲，但文档未明确其形态特征）,未提及（参考薯类害虫 - 甘薯肖叶甲，但文档未明确其生活习性）,未提及,未提及（参考薯类害虫 - 甘薯肖叶甲，但文档未明确其防治措施）,未提及
麦茎异跗萤叶甲（麦茎叶甲、小麦金花虫）,北起黑龙江、内蒙古，南限未过淮河，西达甘肃、青海，山西、甘肃、河北日趋严重,小麦,幼虫从土下1.5cm处钻入麦茎内为害，造成枯心死苗和白穗、无效穗，致大片麦田缺苗断垄，是小麦的毁灭性害虫,雌成虫体长7 - 9mm，鞘翅古铜色，抱卵后腹部伸长增大超过鞘翅盖外；雄成虫体长6 - 7mm，头前端黄褐色，后部黑褐色，触角11节，鞭状，前胸背板黄褐色，上有3个黑色斑纹，中间的较大，鞘翅翠绿色有荧光，密生黄色细毛。卵长0.8 - 1.5mm，椭圆形，初浅黄色，越冬时青灰色。末龄幼虫体长9 - 12mm，黄褐色，前胸盾板和臀板黑褐色，身体背面各节有大小不一的暗黑色斑点排列整齐。裸蛹长6 - 9mm，米黄色，圆柱形，端部具臀刺2根,华北年生一代，以卵在地表1 - 2cm处越冬，翌年3月下旬，小麦拔节，卵开始孵化，4月上旬小麦拔节盛期进入卵孵化盛期。小麦拔节至孕穗期是麦茎叶甲幼虫为害盛期，小麦孕穗初期幼虫开始化蛹，小麦扬花、灌浆进入蛹羽化盛期。幼虫有转株为害习性，每头幼虫能为害7 - 16.9株。成虫常在早晨和傍晚群集在小蓟上，将叶片食成大量孔洞，甚至仅剩主脉的一小部份。卵散产在土缝和疏松的土中,该虫发生与地形、耕作、气象条件关系密切，一般浅山丘陵区、连作麦田、耕作粗放田块易发生，卵孵化盛期雨水偏多的年份发生重,(1)5月中下旬除去麦田中小蓟，可减少成虫产卵机会。(2)成虫发生盛期，喷洒90％晶体敌百虫1000倍液或50％敌敌畏乳油1000倍液、50％1605乳油1500倍液、10％溴氟菊酯乳油1500倍液、2.5％保得乳油2000倍液、2.5％溴氰菊酯乳油2000倍液、50％马拉硫磷乳油1000倍液。(3)治卵。秋深耕25 - 30cm，可灭卵。(4)治幼虫。用1.5％甲基1605粉或2.5％敌百虫粉或2％杀螟松粉，每667m²2kg左右，结合中耕浇水，带药入土，可防止幼虫转株为害。也可用40％乐果乳油2000倍液或50％1605乳油或90％晶体敌百虫1000 - 2000倍液灌根,未提及
麦茎蜂（Cephus pygmaeus linnaeus 、烟翅麦茎蜂（C.fumipennis Eversmann））,全国各地，烟翅麦茎蜂分布在河南、青海、甘肃等省,小麦,幼虫钻蛀茎秆，严重的整个茎秆被食空，老熟幼虫钻入根茎部，从根茎部将茎秆咬断或仅留少量表皮连接，断面整齐，受害小麦很易折倒,成虫体长8 - 12mm，腹部细长，全体黑色，触角丝状，翅膜质透明，前翅基部黑褐色，翅痣明显，雌蜂腹部第4、6、9节镶有黄色横带，腹部较肥大，尾端有锯齿状的产卵器。雄蜂3 - 9节亦生黄带。第1、3、5、6腹节腹侧各具1较大浅绿色斑点，后胸背面具1个浅绿色三角形点，腹部细小粗细一致。卵长约1mm，长椭圆形，白色透明。末龄幼虫体长8 - 12mm，体乳白色，头部浅褐色，胸足退化成小突起，身体多皱褶，臀节延长成几丁质的短管。蛹长10 - 12mm，黄白色，近羽化时变成黑色，蛹外被薄茧,年生1代，以老熟幼虫在茎基部或根茬中结薄茧越冬。翌年4月化蛹，5月中旬羽化，5月下旬进入羽化高峰，羽化期持续20多天,未提及,(1)麦收后进行深翻，收集麦茬沤肥或烧毁，有抑制成虫出土的作用。(2)尽可能实行大面积的轮作。(3)选育秆壁厚或坚硬的抗虫高产品种。(4)发生为害重的地区于5月下旬洋槐开花期成虫发生高峰期喷洒90％晶体敌百虫900倍液或80％敌敌畏乳油1000 - 1200倍液，也可喷撒1.5％乐果粉或2.5％敌百虫粉，每667m²1.5 - 2.5kg,未提及
麦茎谷蛾（麦螟、钻心虫、蛀茎虫等）,山东、河北、江苏、甘肃等冬麦区,小麦、大麦,低龄幼虫在心叶内为害，小麦、大麦拔节后幼虫为害心叶，造成卷心、矮缩、枯心或形成残株，每只幼虫为害2 - 3株。幼虫蛀食第一节茎基造成白穗，是我国小麦、大麦的重要害虫,成虫体长5.9 - 7.9mm，翅展13.5mm，全体密布粗鳞片，头顶密布灰黄色长毛，触角丝状，前翅长方形，灰褐色，外缘生有灰褐色细毛，后翅较前翅略宽，沿前缘具白色剑状斑，外缘及后缘生有灰白色缘毛。卵长1mm，长椭圆形。末龄幼虫体长10.5 - 15.2mm，细长筒形，低龄时白色，后呈黄白色，前胸和腹部1 - 8节的气孔四周具黑色斑，中胸、后胸亦各生黑斑1个，第10腹节背面横列4个小黑点。蛹长7 - 10mm，纺锤形，初黄白色，后变黄褐色,山东、河北年生1代，以低龄幼虫在小麦心叶里越冬，翌年小麦返青后开始为害，5月中下旬幼虫老熟后化蛹在小麦旗叶叶鞘内，少数在第2叶鞘内化蛹。蛹期20天左右。一般在5月下旬 - 6月上旬，小麦进入成熟期成虫开始羽化，成虫羽化喜在晴天上午进行，羽化历期约10天。成虫爱飞，11 - 12时最活跃，气温低于20℃停止活动，成虫羽化后活动一段时间后，在屋檐、墙缝、树皮缝内潜伏越夏，秋季产卵,未提及,(1)成虫羽化期，屋檐下隔2 - 3m挂麻袋等有皱褶的物件，诱其钻入后，翌晨集中处理。(2)4月上中旬，幼虫爬出活动或转株为害时喷洒2.5％敌百虫粉或1％1605粉剂，每667m²1.5 - 2kg。必要时喷洒90％晶体敌百虫1000倍液或80％敌敌畏乳油1500倍液、50％辛硫磷乳油1500 - 2000倍液,未提及
麦蜘蛛（麦圆蜘蛛、麦长腿蜘蛛）,麦圆蜘蛛：我国北纬29 - 37度地区；麦长腿蜘蛛：北纬34 - 43度地区，主害区在长城以南、黄河以北干旱、高燥麦区。有些地区两者混合发生、混合为害,小麦,以成、若虫吸食麦叶汁液，受害叶上出现细小白点，后麦叶变黄，麦株生育不良，植株矮小，严重的全株干枯,麦圆蜘蛛：成虫体长0.6 - 0.98mm，宽0.43 - 0.65mm，卵圆形，黑褐色。4对足，第1对长，第4对居二，2、3对等长。具背肛。足、肛门周围红色。卵长0.2mm左右，椭圆形，初暗褐色，后变浅红色。若螨共4龄。一龄称幼螨，3对足，初浅红色，后变草绿色至黑褐色。2、3、4龄若螨4对足，体似成螨。麦长腿蜘蛛：成虫体长0.62 - 0.85mm，体纺锤形，两端较尖，紫红色至褐绿色。4对足，其中1、4对特别长。卵有2型：越夏卵圆柱形，长0.18mm，卵壳表面有白色蜡质，顶部覆有白色蜡质物，似草帽状，卵顶具放射形条纹；非越夏卵球形，粉红色，长0.15mm，表面生数十条隆起条纹。若虫共3龄。一龄称幼螨，3对足，初为鲜红色，吸食后为黑褐色，2、3龄有4对足，体形似成螨,麦圆蜘蛛年生2 - 3代，即春季繁殖1代，秋季1 - 2代，完成1个世代46 - 80天，以成虫或卵及若虫越冬。冬季几乎不休眠，耐寒力强，翌春2、3月越冬螨陆续孵化为害。3月中下旬 - 4月上旬虫口数量大，4月下旬大部分死亡，成虫把卵产在麦茬或土块上，10月越夏卵孵化，为害秋播麦苗。多行孤雌生殖，每雌产卵20多粒；春季多把卵产在小麦分蘖丛或土块上，秋季多产在须根或土块上，多聚集成堆，每堆数十粒，卵期20 - 90天，越夏卵期4 - 5个月。生长发育适温8 - 15℃，相对湿度高于70％，水浇地易发生。江苏早春降雨是影响该蜘蛛年度间发生程度的关键因素。麦长腿蜘蛛年生3 - 4代，以成虫和卵越冬，翌春2 - 3月成虫开始繁殖，越冬卵开始孵化，4 - 5月田间虫量多，5月中下旬后成虫产卵越夏，10月上中旬越夏卵孵化，为害麦苗。完成一个世代需24 - 46天。多行孤雌生殖。把卵产在麦田中硬土块或小石块及秸秆或粪块上，成、若虫亦群集，有假死性，主要发生在旱地麦田里,未提及,(1)因地制宜进行轮作倒茬，麦收后及时浅耕灭茬；冬春进行灌溉，可破坏其适生环境，减轻为害。(2)播种前用75％3911乳剂0.5kg，对水15 - 25kg，拌麦种150 - 250kg，拌后堆闷12小时后播种。(3)必要时用2％混灭威粉剂或1.5％乐果粉剂，每667m²用1.5 - 2.5kg喷粉，也可掺入30 - 40kg细土撤毒土。(4)虫口数量大时喷洒40％氧化乐果乳油或40％乐果乳油1500倍液，每667m²喷对好的药液75kg。(5)也可选用波美0.3 - 0.5度石硫合剂或50％硫悬浮剂667m²用200 - 400g对水50 - 75kg喷雾，可有效地防治麦蜘蛛，同时还可兼治白粉病和锈病。(6)上述措施不能奏效时，可喷洒15％哒螨灵乳油2000 - 3000倍液或20％绿保素(螨虫素十辛硫磷)乳油3000 - 4000倍液、36％克瞒蝇乳油1000 - 1500倍液，持效期10 - 15天,未提及
