病害名称(别名),发病地区,病害发生生育期,病害发生部位,为害特征,病原,气象,小麦品种,防治措施
小麦混杂退化,未提及,未提及,未提及,种子纯度明显下降，性状变劣，品质变差，抗逆性下降，产量明显降低,一是机械混杂，在播种、收藏等过程中出现人为混杂；二是生物学混杂，田间不同品种间天然杂交；三是突变；四是小麦品种本身继续分离；五是选留种质量不高,未提及,未提及,农业防治：严防机械混杂，做到单收、单运等，贮藏时防虫、防鼠、防霉，处理种子时工具要清扫干净；防止生物学混杂，采取空间、时间、屏障隔离措施；选留种时严格去杂去劣
小麦湿害,湖北、淮北麦区、江苏丘陵麦区等,从苗期至扬花灌浆期,从苗期至扬花灌浆期均可受害,苗期受害造成种苗霉烂，成苗率低，分蘖延迟，根系不发达，苗小叶黄；拔节抽穗期受害，上部功能叶缩短，有效穗减少；扬花灌浆期受害，功能叶早衰，穗粒数少，千粒重降低，严重的青枯死亡,一是冬春阴雨连绵，日照时数不足，田间湿度大，地温低，土壤含水量长期处于饱和状态；二是地下水位高；三是三沟不畅，排灌设施差；四是布局不合理,未提及,未提及,农业防治：及时清理深沟大渠，开挖完善田间一套沟，做到“三沟”配套，提倡水浇麦大面积连片种植；增施肥料，早施巧施接力肥，重施拔节孕穗肥，多施热性有机肥和磷钾肥；搂锄松土散湿提温；护叶防病，锈病、赤霉病等发生后及时喷药防治，也可喷施多种叶面肥和营养剂
小麦灰霉病,80年代以来，四川成都、重庆及浙江等长江两岸地区,从苗期到成熟期均可发病,叶片、穗部,叶片染病初在基部叶片现不规则水浸斑，拔节后叶尖先变黄，下部叶片先发病并向上蔓延，病部现水渍状斑，褪绿变黄，后形成褐色小斑，最后变为黑褐色枯死，其上产生白色霉状物；穗部发病颖壳变褐，生长后期病部可长出灰色霉层,该菌属弱寄生菌，在田靠气流传播,春季长期低温多雨条件下易发病，积温低、日照少，3月份气温低且多雨发病重,选用抗灰霉病的品种,加强田间管理，提高抗病力
小麦炭疽病,未提及,未提及,主要为害叶鞘和叶片，茎秆也可受害,叶鞘染病麦株基部叶鞘先发病，初生褐色病变，产生椭圆形病斑，后沿叶脉纵向扩展成长条形褐斑，致病部以上叶片发黄枯死；叶片染病形成近圆形至椭圆形病斑，后期病部连成一片，致叶片早枯；茎秆染病生出梭形褐色病斑，病部均有小黑粒点,病菌以分生孢子盘和菌丝体在寄主病残体上越冬或越夏，也可附着在种子上传播,在田间气温25℃左右，湿度大，有水膜的条件下有利于病菌侵染和孢子形成；杂草多的连作地，肥料不足、土壤碱性地块利于发病,选用抗炭疽病的小麦品种,物理防治：与非禾本科作物进行3年以上轮作；收获后及时清除病残体或深翻。药剂防治：发病重的地区或地块，可喷洒50%苯菌灵可湿性粉剂1500倍液或25%苯菌灵乳油800倍液，防治1次或15天后再防一次
小麦白秆病,我国四川北部、青海、甘肃及西藏高寒麦区,小麦各生育阶段均可发病,主要为害叶片和茎秆,条斑型：叶片染病从基部产生与叶脉平行向叶尖扩展的水渍状条斑，初为暗褐色，后变草黄色，边缘色深，叶片常生2 - 3个宽为3 - 4mm的条斑，条斑愈合叶片即干枯；叶鞘染病病斑与叶斑相似，常产生不规则条斑，从茎节扩展至叶片基部；茎秆上的条斑多发生在穗颈节，症状与叶鞘相似。斑点型：叶片上产生圆形至椭圆形草黄色病斑，四周褐色，后期叶鞘上生长方形角斑，中间灰白色，四周褐色，茎秆上也可产生褐色条斑,病菌以菌丝体或分生孢子器在种子和病残体上越冬或越夏,该病害流行程度与当地种子带菌率高低、小麦品种的抗病程度及小麦拔节后期开花至灌浆阶段温湿度高低及田间小气候有关；在青藏高原7、8月多雨、气温偏低易于该病流行；向阳山坡地发病轻，背阴麦田发病重,对小麦实行检疫，防止该病进入无病区；建立无病留种田，选育抗病品种,种子处理：用25%三唑酮可湿性粉剂等多种药剂拌种，或采用浸种处理；对病残体多的或靠近场面的麦田，要实行轮作。药剂防治：田间出现病株后，可喷洒50%甲基硫菌灵可湿性粉剂800倍液或50%苯菌灵可湿性粉剂1500倍液
小麦白粉病,我国山东沿海、四川、贵州、云南发生普遍，近年来东北、华北、西北麦区亦日趋严重,未提及,可侵害小麦植株地上部各器官，但以叶片和叶鞘为主，发病重时颖壳和芒也可受害,发病时叶面出现1 - 2mm的白色霉点，后逐渐扩大为近圆形至椭圆形白色霉斑，霉斑表面有一层白粉，后期病部霉层变为灰白色至浅褐色，病斑上散生有针头大小的小黑粒点,病菌靠分生孢子或子囊孢子借气流传播到感病小麦叶片上,南方麦区雨后及时排水，防止湿气滞留；北方麦区适时浇水，使寄主增强抗病力,各地因地制宜选用抗病品种，如郑州8915、豫麦9号等众多冬小麦品种和垦红13号等春小麦品种；根据种植区域和条件合理搭配品种,肥料防治：提倡施用酵素菌沤制的堆肥或腐熟有机肥，采用配方施肥技术，适当增施磷钾肥，根据品种特性和地力合理密植。物理防治：自生麦苗越夏地区，冬小麦秋播前要及时清除掉自生麦。药剂防治：用种子重量0.03%(有效成分)25%三唑酮(粉锈宁)可湿性粉剂拌种；在小麦抗病品种少或病菌小种变异大抗性丧失快的地区，当病情指数达到1或病叶率达10%以上时，开始喷洒20%三唑酮乳油等药剂，可采用杀虫杀菌剂混配兼治多种病虫害
小麦眼斑病(茎裂病),未提及,未提及,主要为害距地面15 - 20cm植株基部的叶鞘和茎秆,病部产生典型的眼状病斑，病斑初浅黄色，具褐色边缘，后中间变为黑色，长约4cm，上生黑色虫屎状物；病情严重时病斑常穿透叶鞘，扩展到茎秆上，严重时形成白穗或茎秆折断,病菌以菌丝在病残体中越冬或越夏，分生孢子靠雨水飞溅传播,气温6 - 15℃，湿度适宜时利于其侵入；冬小麦发病重于春小麦,选用耐病品种,物理防治：与非禾本科作物进行轮作；收获后及时清除病残体和耕播土地，促进病残体迅速分解；适当密植，避免早播，雨后及时排水，防止湿气滞留。药剂防治：必要时在发病初期开始喷洒36%甲基硫菌灵悬浮剂500倍液或50%苯菌灵可湿性粉剂1500倍液
小麦禾谷胞囊线虫病,未提及,秋麦秋季侵入，以各发育虫态在根内越冬，翌年春季气温回升为害，于4 - 5月显露胞囊；春麦被侵入两个月可出现胞囊,为害小麦、大麦、燕麦、黑麦等27属34种植物的根系,受害小麦幼苗矮黄，根系短分叉，后期根系被寄生呈瘤状，露出白亮至暗褐色粉粒状胞囊；线虫为害后，病根常受次生性土壤真菌为害，致使根系腐烂，地上部矮小、发黄,该线虫在我国年均只发生一代，以2龄幼虫侵入幼嫩根尖，在维管束附近定居取食，刺激周围细胞成为巨形细胞，发育过程中形态发生变化，雌成虫形成白色胞囊，内含大量卵，雄成虫交配后死亡，雌虫体内卵变为褐色胞囊后死亡，卵在土中可保持活性，胞囊可借多种方式传播,9℃以上有利于线虫孵化和侵入寄主；春麦早播较晚播重，冬麦晚播发病轻；连作麦田发病重；缺肥、干旱地较重；沙壤土较粘土重；苗期侵染对产量影响较大,选用抗(耐)病品种,检疫方法：加强检疫，防止此病扩散蔓延。物理防治：轮作与麦类及其它禾谷类作物隔年或3年轮作。肥料方法：春麦区适当晚播，平衡施肥，提高植株抵抗力；施用土壤添加剂，控制根际微生态环境。药剂防治：每667m²施用3%万强颗粒剂200g，也可用24%万强水剂600倍液在小麦返青时喷雾；其它方法参见小麦粒线虫病
小麦秆枯病,未提及,苗期至结实期都可染病,主要为害茎秆和叶鞘,幼苗发病初在第一片叶与芽鞘之间有针尖大小的小黑点，以后扩展到叶鞘和叶片上，呈梭形褐边白斑并有虫粪状物；拔节期在叶鞘上形成褐色云斑，边缘明显，病斑上有灰黑色虫粪状物，叶鞘内有一层白色菌丝，有的茎秆内也充满菌丝，叶片下垂卷曲；抽穗后叶鞘内菌丝变为灰黑色，叶鞘表面有明显突出小黑点，茎基部干枯或折倒，形成枯白穗，籽粒秕瘦,以土壤带菌为主，未腐熟粪肥也可传播,田间湿度大，地温10 - 15℃适宜秆枯病发生；小麦3叶期前容易染病，叶龄越大，抗病力越强；病害流行程度主要决定于土壤带菌多少,选用抗(耐)病品种，如中苏68号、2711、敖德萨3号等,农业防治：加强农业防治，麦收时集中清除田间所有病残体；重病田实行3年以上轮作；混有麦秸的粪肥要充分腐熟或加入酵素菌进行沤制；适期早播。药剂防治：用50%拌种双或福美双、40%多菌灵可湿粉、50%甲基硫菌灵可湿粉按相应比例拌种
小麦秆锈病,华东沿海、长江流域、南方冬麦区及东北、华北的内蒙古、西北春麦区,未提及,主要发生在叶鞘和茎秆上，也为害叶片和穗部,夏孢子堆大，长椭圆形，深褐色或褐黄色，排列不规则，散生，常连接成大斑，成熟后表皮易破裂，散出大量锈褐色粉末；小麦成熟时，在夏孢子堆及其附近出现黑色椭圆至长条形冬孢子堆，后表皮破裂，散出黑色粉末状物,该病主要以夏孢子完成病害的侵染循环，在转主寄主小蘖叶背形成的锈孢子侵染小麦，又形成夏孢子和冬孢子；我国小麦秆锈菌主要在福建、广东沿海地区、云南南部麦区越冬，翌春夏孢子北移，在多个麦区越夏，借气流远距离传播,病菌侵入适温18 - 22℃，秆锈病流行需要较高的温度和湿度，尤其需要液态水,选用抗病品种，如东北麦区的克丰系列等，内蒙古的蒙杂系列等，黄淮地区的泰山1号等；新育出的抗秆锈的春小麦和冬小麦品种；种植时要兼顾抗源的多样化和合理布局,药剂防治：参见小麦条锈病、叶锈病
小麦秆黑粉病,未提及,未提及,主要为害小麦茎、叶和穗等,当株高0.33m左右时，在茎、叶、叶鞘等部位出现与叶脉平行的条纹状孢子堆，孢子堆略隆起，初白色，后变灰白色至黑色，病组织老熟后，孢子堆破裂，散出黑色粉末；病株多矮化、畸形或卷曲，多数病株不能抽穗而卷曲在叶鞘内，或抽出畸形穗，病株分蘖多,病菌以冬孢子团散落在土壤中或以冬孢子粘附在种子表面及肥料中越冬或越夏，冬孢子萌发后从芽鞘侵入而至生长点，是幼苗系统性侵染病害，没有再侵染,该病发生与小麦发芽期土温有关，土温20℃左右最为适宜；干燥地块较潮湿地块发病重；西北地区10月份播种的发病率高,选用抗病品种，如北京5号、阿勃、矮丰1号、矮丰2号；换用无病种子,物理防治：土壤传病为主的地区，可与非寄主作物进行1 - 2年轮作。肥料防治：精细整地，提倡施用日本酵素菌沤制的堆肥或净肥，适期播种，避免过深。种子防治：土壤传病为主的地区提倡用种子重量0.2%的40%拌种双或0.3%的50%福美双拌种；其他地区最好选用种子重量0.03%有效成分的20%三唑酮或0.015% - 0.02%有效成分的15%三唑醇等内吸杀菌剂拌种
小麦穗发芽,春小麦、冬小麦收获期,春小麦、冬小麦收获期,麦穗,影响籽粒品质，影响小麦贮存及下季或翌年播种质量，造成较大经济损失,一是小麦成熟时的环境条件影响；二是受穗部形态等遗传因素影响，如休眠期短、胚乳对刺激麦粒合成α淀粉酶活性的GA#3反应敏感、颖壳中发芽抑制物少、麦穗籽粒吸水速率快等品种易穗发芽,在长江中下游地区及全国其他冬、春小麦栽培区，麦熟期与雨季吻合时易发生,选用培育抗穗发芽或早熟、适应当地种植的小麦品种,农业防治：适期播种，使小麦成熟期尽量躲过当地的雨季，必要时在雨季到来之前喷洒“穗得安”。收获管理：小麦成熟后马上组织收割机抢收、抢打，尽快晾干入库；已经发芽的据实际情况尽可能减少损失
小麦粒瘿线虫病(小麦粒线虫病),未提及,染病的小麦苗期至成熟期都有症状表现，以在麦穗上形成虫瘿最为明显,苗期至成熟期，重点为麦穗,受害麦苗叶片短阔、皱边、微黄、直立，严重者萎缩枯死；病株在抽穗前，叶片皱缩，叶鞘疏松，茎秆扭曲；孕穗期后，病株矮小，茎秆肥大，节间缩短，受害重的不能抽穗，有的抽穗但不结实变为虫瘿，病穗较健穗短，色泽深绿，虫瘿比健粒短而圆，使颖壳向外开张，露出瘿粒，虫瘿顶部有钩状物，侧边有沟，内含白色棉絮状线虫,粒线虫以虫瘿混杂在麦种中传播，虫瘿随麦种播入土中，休眠后2龄幼虫复苏出瘿，沿芽鞘缝侵入生长点附近，营外寄生，后侵入花器，营内寄生，使子房畸变形成雏瘿，灌浆期幼虫发育，雌雄交配产卵，2龄幼虫休眠于内；该线虫是小麦蜜穗病病原细菌侵入小麦的媒介体，还可侵染黑麦、大麦和燕麦,土温12 - 16℃，适于线虫活动为害；沙土干旱条件发病重，粘土发病轻,未提及,植物检疫：加强检验，防止带有虫瘿种子远距离传播；建立无病留种制度，设立无病种子田，种植可靠无病种子。种子处理：清除麦种中虫瘿，可采用清水选、盐水选、硫酸铵液选法；用50%甲基对硫磷或甲基异柳磷，按种子量0.2%拌闷种子。物理防治：实行3年以上轮作，防止虫瘿混入粪肥，施用充分腐熟有机肥。药剂防治：用15%涕灭威颗粒剂、10%克线磷、3%万强颗粒剂等
小麦糜疯病(拐节病),西北麦区,未提及,未提及,引起严重花叶或产生黄色斑点、长短线纹或褪绿斑驳，植株矮化，分蘖高低参差不齐，引起不同程度坏死，有的分蘖死亡或茎叶扭曲，茎节上下拐折，造成植株散乱,该毒原由曲叶螨传播，若虫期获毒后，可终身传毒，但不经卵传毒,距糜田近的易发病，糜子收获前小麦出土早的发病重,未提及,防治：糜疯病发生区，麦田宜远离糜子田；适期播种，不宜过早
